index,cleaned_job_title,senior,min_salary_estimate,max_salary_estimate,average_salary,cleaned_company_name,rating,location_city,location_state,headquarters_city,headquarters_state,same_state,size,founded,type_of_ownership,industry,sector,revenue,python,r_skills,sql_skills,spark,hadoop,tableau,excel,aws,azure,tensorflow,keras,pytorch,sas
472,"Data Engineer",0,31,56,43.50,"Western Digital",3.5,"San Jose",CA,"San Jose",CA,1,"10000+ employees",1970,"Company - Public","Computer Hardware & Software","Information Technology","$10+ billion (USD)",1,1,0,1,1,0,0,1,0,0,0,0,1
473,"Data Scientist",0,31,56,43.50,"Trexquant Investment",4,NULL,NULL,Stamford,CT,0,"1 to 50 employees",2012,"Company - Private","Investment Banking & Asset Management",Finance,"Unknown / Non-Applicable",1,0,1,0,0,0,0,0,0,0,0,0,0
474,"Data Scientist",0,31,56,43.50,"Ameritas Life Insurance Corp",3,Cincinnati,OH,Lincoln,NE,0,"1001 to 5000 employees",1887,"Company - Private","Insurance Agencies & Brokerages",Insurance,"$2 to $5 billion (USD)",0,0,0,0,0,0,0,0,0,0,0,0,0
475,"Data Scientist",0,31,56,43.50,Fleetcor,3.7,Atlanta,GA,Atlanta,GA,1,"5001 to 10000 employees",2000,"Company - Public","Financial Transaction Processing",Finance,"$2 to $5 billion (USD)",1,0,0,0,0,1,1,0,0,0,0,0,1
476,"Data Scientist",0,31,56,43.50,"Radiant Digital",4.5,Washington,DC,"New York",NY,0,"1 to 50 employees",NULL,"Company - Private",NULL,NULL,"Less than $1 million (USD)",1,0,1,1,1,0,1,0,0,0,0,0,0
477,"Data Scientist",0,31,56,43.50,"Child Care Aware of America",2.8,Arlington,VA,Arlington,VA,1,"51 to 200 employees",1987,"Nonprofit Organization","Social Assistance",Non-Profit,"$25 to $50 million (USD)",1,1,1,0,0,0,1,1,1,0,0,0,0
478,"Data Scientist",0,31,56,43.50,"IntelliPro Group Inc.",4.1,"Santa Clara",CA,"Santa Clara",CA,1,"201 to 500 employees",NULL,"Company - Private",NULL,NULL,"$10 to $25 million (USD)",1,1,0,0,1,0,1,0,0,0,0,0,0
479,"Data Analyst",0,31,56,43.50,"Quest Integrity",2.9,Tulsa,OK,Kent,WA,0,"201 to 500 employees",1996,"Company - Public","Oil & Gas Services","Oil, Gas, Energy & Utilities","$50 to $100 million (USD)",0,0,0,0,0,0,1,0,0,0,0,0,0
480,"Data Scientist",0,31,56,43.50,"Praxis Engineering",4.7,Chantilly,VA,"Annapolis Junction",MD,0,"201 to 500 employees",2002,"Subsidiary or Business Segment","Computer Hardware & Software","Information Technology","$100 to $500 million (USD)",0,0,1,0,0,0,0,1,0,0,0,0,0
481,"Data Scientist",0,31,56,43.50,USI,3.4,Southfield,MI,"Saint Paul",MN,0,"1001 to 5000 employees",1998,"Company - Private",Construction,"Construction, Repair & Maintenance","$100 to $500 million (USD)",1,0,1,0,0,0,1,0,1,0,0,0,1
482,"Data Scientist",0,31,56,43.50,"Apex Systems",3.9,"San Francisco",CA,"Glen Allen",VA,0,"1001 to 5000 employees",1995,"Subsidiary or Business Segment","Staffing & Outsourcing","Business Services","$2 to $5 billion (USD)",0,0,1,0,0,0,0,0,0,0,0,0,1
483,"Data Scientist",0,31,56,43.50,"Pragmatics, Inc.",2.9,NULL,NULL,Reston,VA,0,"201 to 500 employees",1985,"Company - Private","IT Services","Information Technology","$100 to $500 million (USD)",1,1,0,0,1,0,0,1,0,0,0,0,0
484,"Data Scientist",0,31,56,43.50,"Johns Hopkins University Applied Physics Laboratory",4.5,Laurel,MD,Laurel,MD,1,"5001 to 10000 employees",1942,"Nonprofit Organization","Aerospace & Defense","Aerospace & Defense","$1 to $2 billion (USD)",0,0,0,1,0,0,1,0,0,0,0,0,0
485,"Data Scientist",0,31,56,43.50,"Cambridge Mobile Telematics",4.9,Cambridge,MA,Cambridge,MA,1,"1 to 50 employees",2010,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable",1,0,0,1,0,0,0,1,0,0,0,0,0
486,"Data Scientist",0,31,56,43.50,"Phoenix Operations Group",5,"Annapolis Junction",MD,Woodbine,MD,1,"1 to 50 employees",2011,"Company - Private","IT Services","Information Technology","$1 to $5 million (USD)",1,1,0,1,0,0,0,0,0,0,0,0,0
487,"Machine Learning Engineer",0,95,119,107.00,"Tempus Labs",3.3,"Redwood City",CA,Chicago,IL,0,"501 to 1000 employees",2015,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable",1,0,1,0,0,0,0,1,0,0,0,0,0
488,"Data Scientist",0,95,119,107.00,"The Knot Worldwide",3.5,Washington,DC,"Chevy Chase",MD,0,"1001 to 5000 employees",2019,"Company - Private",Internet,"Information Technology","Unknown / Non-Applicable",1,1,0,1,0,0,0,1,0,0,0,0,0
489,"Data Scientist",0,95,119,107.00,"Crossover Health",3.5,"San Clemente",CA,"Aliso Viejo",CA,1,"1 to 50 employees",2010,"Company - Private","Health Care Services & Hospitals","Health Care","$1 to $5 million (USD)",1,1,0,0,0,1,1,0,0,0,0,0,0
490,"Data Scientist",0,95,119,107.00,"Lorven Technologies Inc",4,"New York",NY,Plainsboro,NJ,0,"1 to 50 employees",NULL,"Company - Private",Accounting,"Accounting & Legal","Less than $1 million (USD)",1,0,1,0,0,0,0,0,0,0,0,0,0
491,"Data Analyst",0,95,119,107.00,"Nolij Consulting",3.9,"Falls Church",VA,Vienna,VA,1,"51 to 200 employees",2012,"Company - Public",Consulting,"Business Services","$1 to $5 million (USD)",1,1,1,0,0,1,1,0,0,0,0,0,0
492,"Data Scientist",0,95,119,107.00,Dice.com,3.4,Newton,MA,Denver,CO,0,"201 to 500 employees",1990,"Subsidiary or Business Segment","Staffing & Outsourcing","Business Services","$100 to $500 million (USD)",1,0,1,0,0,0,1,1,0,1,0,1,0
493,"Data Scientist",0,95,119,107.00,"Gap Inc.",3.5,"San Francisco",CA,"San Francisco",CA,1,"10000+ employees",1969,"Company - Public","Department, Clothing, & Shoe Stores",Retail,"$10+ billion (USD)",1,0,1,1,0,0,0,0,0,1,0,0,0
494,"Data Scientist",0,95,119,107.00,"Tygart Technology, Inc",4.7,Washington,DC,Fairmont,WV,0,"1 to 50 employees",NULL,"Company - Private",NULL,NULL,"$1 to $5 million (USD)",1,1,1,0,1,0,1,0,0,0,0,0,1
497,"Data Scientist",0,95,119,107.00,"Hatch Data Inc",NULL,"San Francisco",CA,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,1,0,0,0,1,0,0,0,0,0
501,"Data Scientist",0,95,119,107.00,"Murray Resources",4.6,"The Woodlands",TX,Houston,TX,1,"1 to 50 employees",1988,"Company - Private","Staffing & Outsourcing","Business Services","$10 to $25 million (USD)",1,1,1,0,1,1,1,0,0,0,0,0,0
502,"Data Scientist",0,95,119,107.00,"New York Technology Partners",4,Seattle,WA,"Jersey City",NJ,0,"51 to 200 employees",1999,"Company - Private","Computer Hardware & Software","Information Technology","$10 to $25 million (USD)",1,0,1,1,1,0,1,1,1,0,0,0,0
503,"Data Scientist",0,95,119,107.00,"Two95 International Inc.",4,Chicago,IL,"Cherry Hill",NJ,0,"1 to 50 employees",NULL,"Company - Private","Staffing & Outsourcing","Business Services","$1 to $5 million (USD)",1,1,1,0,0,0,0,0,0,0,0,0,1
504,"Data Scientist",0,95,119,107.00,Sophinea,NULL,Chantilly,VA,NULL,NULL,0,"1 to 50 employees",NULL,Unknown,NULL,NULL,"Unknown / Non-Applicable",0,0,1,0,0,0,0,0,0,0,0,0,0
505,"Data Scientist",0,95,119,107.00,"CRS Group",4.7,Chicago,IL,Itasca,IL,1,"51 to 200 employees",1994,"Company - Private","Staffing & Outsourcing","Business Services","$10 to $25 million (USD)",0,0,0,0,0,0,0,0,0,0,0,0,0
506,"Data Scientist",0,95,119,107.00,"Blackstone Talent Group",3.5,"San Francisco",CA,"San Francisco",CA,1,"51 to 200 employees",1998,"Company - Private",Consulting,"Business Services","$25 to $50 million (USD)",1,0,0,0,0,0,0,1,0,0,0,0,0
507,"Data Scientist",0,95,119,107.00,"Phoenix Operations Group",5,Baltimore,MD,Woodbine,MD,1,"1 to 50 employees",2011,"Company - Private","IT Services","Information Technology","$1 to $5 million (USD)",1,0,0,1,0,0,0,0,0,0,0,0,0
508,"Data Scientist",1,212,331,271.50,Roche,4.1,Pleasanton,CA,Basel,Switzerland,0,"10000+ employees",1896,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)",1,1,1,1,1,0,1,0,0,0,0,0,0
509,"Data Scientist",0,212,331,271.50,AstraZeneca,4,Wilmington,DE,Cambridge,"United Kingdom",0,"10000+ employees",1913,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)",1,0,1,0,1,0,0,0,0,0,0,0,1
510,"Data Scientist",0,212,331,271.50,"Creative Circle",3.6,NULL,NULL,"Los Angeles",CA,0,"201 to 500 employees",2002,"Company - Public","Staffing & Outsourcing","Business Services","Unknown / Non-Applicable",1,1,1,0,0,0,0,0,0,0,0,0,0
511,"Machine Learning Engineer",0,212,331,271.50,"Blue Horizon Tek Solutions",5,"New York",NY,"Coconut Creek",FL,0,"1 to 50 employees",1987,"Company - Private","Staffing & Outsourcing","Business Services","Unknown / Non-Applicable",1,0,0,0,0,0,1,0,0,0,0,0,0
512,"Data Scientist",1,212,331,271.50,"Maxar Technologies",3.5,Herndon,VA,Westminster,CO,0,"5001 to 10000 employees",NULL,"Company - Public","Aerospace & Defense","Aerospace & Defense","$2 to $5 billion (USD)",1,1,1,0,0,0,1,0,0,0,0,0,0
513,"Data Scientist",0,212,331,271.50,"Sharpedge Solutions Inc",4.7,Seattle,WA,Lombard,IL,0,Unknown,NULL,"Company - Private",Publishing,Media,"Less than $1 million (USD)",1,0,1,1,1,0,1,1,1,0,0,0,0
514,"Data Scientist",0,212,331,271.50,"Maxar Technologies",3.5,Herndon,VA,Westminster,CO,0,"5001 to 10000 employees",NULL,"Company - Public","Aerospace & Defense","Aerospace & Defense","$2 to $5 billion (USD)",1,1,1,1,1,1,0,0,0,0,0,0,0
515,"Data Scientist",0,212,331,271.50,"Alaka`ina Foundation Family of Companies",3.6,"Fort Sam Houston",TX,Honolulu,HI,0,"501 to 1000 employees",NULL,Government,NULL,NULL,"Unknown / Non-Applicable",1,1,1,0,0,0,0,0,0,0,0,0,1
516,"Data Engineer",0,212,331,271.50,"Southwest Research Institute",3.9,"Oklahoma City",OK,"San Antonio",TX,0,"1001 to 5000 employees",1947,"Nonprofit Organization","Research & Development","Business Services","$500 million to $1 billion (USD)",1,0,0,0,0,0,1,0,0,0,0,0,0
517,"Data Scientist",0,212,331,271.50,"Hexagon US Federal",2.7,"Lexington Park",MD,Chantilly,VA,0,"51 to 200 employees",2010,"Company - Public","Aerospace & Defense","Aerospace & Defense","Unknown / Non-Applicable",0,0,0,0,0,0,1,1,0,0,0,0,0
518,"Data Engineer",0,212,331,271.50,Klaviyo,4.8,Boston,MA,Boston,MA,1,"201 to 500 employees",2012,"Company - Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable",1,0,0,0,0,0,0,0,0,0,0,0,0
519,"Data Scientist",1,212,331,271.50,"Monte Rosa Therapeutics",NULL,Cambridge,MA,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,1,0,0,0,0,0,0
520,"Data Scientist",0,212,331,271.50,"Comtech Global Inc",4,Washington,DC,Columbus,OH,0,"51 to 200 employees",NULL,"Company - Private","Health, Beauty, & Fitness","Consumer Services","$5 to $10 million (USD)",1,1,1,1,1,1,0,1,1,0,0,0,0
